"PERIODE";"IAS_lissé"
2009-01-01;94
2009-01-02;103
2009-01-03;110
2009-01-04;118
2009-01-05;124
2009-01-06;128
2009-01-07;129
2009-01-08;130
2009-01-09;129
2009-01-10;127
2009-01-11;126
2009-01-12;121
2009-01-13;115
2009-01-14;111
2009-01-15;108
2009-01-16;106
2009-01-17;107
2009-01-18;107
2009-01-19;109
2009-01-20;109
2009-01-21;110
2009-01-22;111
2009-01-23;112
2009-01-24;112
2009-01-25;112
2009-01-26;112
2009-01-27;110
2009-01-28;107
2009-01-29;106
2009-01-30;108
2009-01-31;112
2009-02-01;115
2009-02-02;119
2009-02-03;123
2009-02-04;126
2009-02-05;128
2009-02-06;130
2009-02-07;131
2009-02-08;130
2009-02-09;128
2009-02-10;127
2009-02-11;125
2009-02-12;123
2009-02-13;122
2009-02-14;122
2009-02-15;125
2009-02-16;128
2009-02-17;130
2009-02-18;131
2009-02-19;133
2009-02-20;133
2009-02-21;134
2009-02-22;133
2009-02-23;129
2009-02-24;124
2009-02-25;121
2009-02-26;120
2009-02-27;120
2009-02-28;121
2009-03-01;122
2009-03-02;122
2009-03-03;122
2009-03-04;122
2009-03-05;122
2009-03-06;122
2009-03-07;123
2009-03-08;122
2009-03-09;120
2009-03-10;120
2009-03-11;121
2009-03-12;121
2009-03-13;123
2009-03-14;122
2009-03-15;119
2009-03-16;118
2009-03-17;118
2009-03-18;117
2009-03-19;120
2009-03-20;121
2009-03-21;124
2009-03-22;124
2009-03-23;124
2009-03-24;126
2009-03-25;127
2009-03-26;127
2009-03-27;126
2009-03-28;125
2009-03-29;122
2009-03-30;120
2009-03-31;120
2009-04-01;121
2009-04-02;120
2009-04-03;119
2009-04-04;118
2009-04-05;114
2009-04-06;110
2009-04-07;106
2009-04-08;102
2009-04-09;100
2009-04-10;99
2009-04-11;99
2009-04-12;100
2009-04-13;102
2009-04-14;102
2009-04-15;103
2009-04-16;104
2009-04-17;107
2009-04-18;109
2009-04-19;111
2009-04-20;111
2009-04-21;112
2009-04-22;113
2009-04-23;113
2009-04-24;112
2009-04-25;109
2009-04-26;105
2009-04-27;102
2009-04-28;100
2009-04-29;99
2009-04-30;98
2009-05-01;97
2009-05-02;97
2009-05-03;99
2009-05-04;102
2009-05-05;105
2009-05-06;108
2009-05-07;112
2009-05-08;116
2009-05-09;118
2009-05-10;117
2009-05-11;114
2009-05-12;110
2009-05-13;107
2009-05-14;104
2009-05-15;103
2009-05-16;102
2009-05-17;103
2009-05-18;103
2009-05-19;103
2009-05-20;102
2009-05-21;102
2009-05-22;102
2009-05-23;101
2009-05-24;100
2009-05-25;99
2009-05-26;98
2009-05-27;97
2009-05-28;97
2009-05-29;98
2009-05-30;99
2009-05-31;99
2009-06-01;99
2009-06-02;99
2009-06-03;99
2009-06-04;98
2009-06-05;99
2009-06-06;100
2009-06-07;100
2009-06-08;100
2009-06-09;100
2009-06-10;100
2009-06-11;99
2009-06-12;95
2009-06-13;92
2009-06-14;91
2009-06-15;89
2009-06-16;89
2009-06-17;91
2009-06-18;93
2009-06-19;95
2009-06-20;97
2009-06-21;100
2009-06-22;101
2009-06-23;102
2009-06-24;103
2009-06-25;103
2009-06-26;103
2009-06-27;101
2009-06-28;101
2009-06-29;101
2009-06-30;101
2009-07-01;100
2009-07-02;101
2009-07-03;101
2009-07-04;101
2009-07-05;101
2009-07-06;99
2009-07-07;97
2009-07-08;95
2009-07-09;95
2009-07-10;93
2009-07-11;92
2009-07-12;94
2009-07-13;95
2009-07-14;95
2009-07-15;94
2009-07-16;93
2009-07-17;93
2009-07-18;94
2009-07-19;93
2009-07-20;94
2009-07-21;93
2009-07-22;92
2009-07-23;91
2009-07-24;91
2009-07-25;92
2009-07-26;96
2009-07-27;100
2009-07-28;102
2009-07-29;104
2009-07-30;107
2009-07-31;110
2009-08-01;111
2009-08-02;112
2009-08-03;114
2009-08-04;114
2009-08-05;114
2009-08-06;116
2009-08-07;119
2009-08-08;121
2009-08-09;122
2009-08-10;124
2009-08-11;126
2009-08-12;130
2009-08-13;136
2009-08-14;141
2009-08-15;144
2009-08-16;145
2009-08-17;142
2009-08-18;140
2009-08-19;137
2009-08-20;133
2009-08-21;130
2009-08-22;129
2009-08-23;130
2009-08-24;133
2009-08-25;137
2009-08-26;141
2009-08-27;144
2009-08-28;147
2009-08-29;148
2009-08-30;147
2009-08-31;148
2009-09-01;147
2009-09-02;148
2009-09-03;149
2009-09-04;151
2009-09-05;153
2009-09-06;155
2009-09-07;155
2009-09-08;155
2009-09-09;152
2009-09-10;150
2009-09-11;148
2009-09-12;148
2009-09-13;148
2009-09-14;144
2009-09-15;143
2009-09-16;144
2009-09-17;147
2009-09-18;148
2009-09-19;149
2009-09-20;149
2009-09-21;147
2009-09-22;144
2009-09-23;141
2009-09-24;140
2009-09-25;138
2009-09-26;136
2009-09-27;133
2009-09-28;130
2009-09-29;127
2009-09-30;125
2009-10-01;124
2009-10-02;124
2009-10-03;126
2009-10-04;127
2009-10-05;130
2009-10-06;133
2009-10-07;136
2009-10-08;137
2009-10-09;139
2009-10-10;140
2009-10-11;144
2009-10-12;146
2009-10-13;147
2009-10-14;148
